===== 阶段1: mixed-b4a 重训（B3 配方 + 高帧段过采样）(2026-09-06 15:50:15) =====
[2026-09-06 15:50:16] 显存不足 (13884MB < 28GB)，10 分钟后重试... (第 1 次)
[2026-09-06 16:00:15] 显存不足 (13884MB < 28GB)，10 分钟后重试... (第 2 次)
[2026-09-06 16:10:15] 显存不足 (13884MB < 28GB)，10 分钟后重试... (第 3 次)
[2026-09-06 16:20:16] 显存不足 (9714MB < 28GB)，10 分钟后重试... (第 4 次)
[2026-09-06 16:30:16] 显存不足 (9714MB < 28GB)，10 分钟后重试... (第 5 次)
[2026-09-06 16:40:16] 显存不足 (13884MB < 28GB)，10 分钟后重试... (第 6 次)
[2026-09-06 16:50:16] 显存不足 (9714MB < 28GB)，10 分钟后重试... (第 7 次)
[2026-09-06 17:00:16] 显存不足 (9714MB < 28GB)，10 分钟后重试... (第 8 次)
[2026-09-06 17:10:16] 显存不足 (9714MB < 28GB)，10 分钟后重试... (第 9 次)
[2026-09-06 17:20:16] 显存不足 (9714MB < 28GB)，10 分钟后重试... (第 10 次)
[2026-09-06 17:30:16] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 11 次)
[2026-09-06 17:40:16] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 12 次)
[2026-09-06 17:50:16] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 13 次)
[2026-09-06 18:00:16] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 14 次)
[2026-09-06 18:10:16] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 15 次)
[2026-09-06 18:20:16] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 16 次)
[2026-09-06 18:30:16] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 17 次)
[2026-09-06 18:40:17] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 18 次)
[2026-09-06 18:50:17] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 19 次)
[2026-09-06 19:00:17] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 20 次)
[2026-09-06 19:10:17] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 21 次)
[2026-09-06 19:20:17] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 22 次)
[2026-09-06 19:30:17] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 23 次)
[2026-09-06 19:40:17] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 24 次)
[2026-09-06 19:50:17] 显存不足 (7277MB < 28GB)，10 分钟后重试... (第 25 次)
[2026-09-06 20:00:17] 显存不足 (7339MB < 28GB)，10 分钟后重试... (第 26 次)
[2026-09-06 20:10:17] 显存不足 (13882MB < 28GB)，10 分钟后重试... (第 27 次)
[2026-09-06 20:20:17] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 28 次)
[2026-09-06 20:30:17] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 29 次)
[2026-09-06 20:40:18] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 30 次)
[2026-09-06 20:50:18] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 31 次)
[2026-09-06 21:00:18] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 32 次)
[2026-09-06 21:10:18] 显存不足 (9712MB < 28GB)，10 分钟后重试... (第 33 次)
